Event ID	Description
 	565	Object open audited with access mask. (Legacy, pre-Windows Server 2008) Occurs when an object is opened and the access rights (mask) used are recorded for auditing. 
 	566	Object operation attempted. (Legacy, pre-Windows Server 2008) Logged when a specific operation is performed on an object (e.g., change, read, delete), including successful or failed attempts. 
 	567	An attempt was made to access an object.
This event is generated every time a user or program attempts to open an Active Directory object. It is logged on domain controllers, member servers, and workstations. 
 	576	Special privileges assigned to new logon. (Legacy, pre-Windows Server 2008) Logged when a new logon session is started with admin/system privileges. 
 	577	Privileged service called. (Legacy, pre-Windows Server 2008) Logged when a privileged system service (like backup, restore) is called. 
 	578	Privileged object operation attempt. (Legacy, pre-Windows Server 2008) Occurs when a privileged object is accessed or an operation is tried that requires enhanced permissions. 
 	592	A new process has been created. (Legacy, pre-Windows Server 2008) Logged when a new process or program runs on the system. 
 	593	A process exited. (Legacy, pre-Windows Server 2008) Occurs when a process running on the system terminates. 
 	594	Handle to an object requested. (Legacy, pre-Windows Server 2008) Logged when access to an object (e.g., file, key) is requested and a handle is obtained. 
 	595	Handle to an object closed. (Legacy, pre-Windows Server 2008) Occurs when a previous handle to an object is closed. 
 	596	Auditable operation performed on an object. (Legacy, pre-Windows Server 2008) Logged when a successful or attempted operation—such as read, modify, or delete—is performed on an object. 
 	600	Account logon granted. (Legacy, pre-Windows Server 2008) Logged when a user account is successfully authenticated to the system. 
 	601	Account logon denied. (Legacy, pre-Windows Server 2008) Occurs when an authentication attempt for a user account fails. 
 	602	Account logoff. (Legacy, pre-Windows Server 2008) Logged when a user account logs off from the system. 
 	608	Explicit credentials were assigned to a scheduled task. Logged when a scheduled task is configured to use explicit (user-provided) credentials. 
 	609	A scheduled task was registered. Occurs when a new scheduled task is added to Windows Task Scheduler. 
 	610	A scheduled task was started. Logged when a scheduled task begins running. 
 	611	A scheduled task was disabled. Occurs when a scheduled task is disabled in Task Scheduler. 
 	612	A scheduled task was stopped. Logged when a running scheduled task is stopped. 
 	613	A scheduled task was deleted. Occurs when a scheduled task is removed from the system. 
 	614	An object was added to the COM+ Catalog. Logged when a new object is added to the Component Services (COM+) catalog. 
 	615	An object was removed from the COM+ Catalog. Occurs when an object is deleted from the Component Services catalog. 
 	616	A channel was deleted. Logged when a Windows Event Log channel is removed from the system. 
 	617	A process was assigned a primary token. Occurs when a process on the system is assigned a user security token. 
 	618	A process was assigned a process trust label. Logged when a process is tagged with a trust label (integrity, AppLocker enforcement, etc.). 
 	619	A process's trust label was changed. Occurs when the trust label on a process is modified (e.g., security level changed). 
 	620	A scheduled task was updated. (Legacy, pre-Windows Server 2008) Logged when the properties or configuration of a scheduled task are changed. 
 	621	A scheduled task was enabled. (Legacy, pre-Windows Server 2008) Occurs when a disabled scheduled task is enabled in Task Scheduler. 
 	622	A scheduled task was deleted. (Legacy, pre-Windows Server 2008) Logged when a scheduled task is removed from the system. 
 	623	A scheduled task was disabled. (Legacy, pre-Windows Server 2008) Occurs when a scheduled task is disabled in Task Scheduler. 
 	624	User account created. (Legacy, pre-Windows Server 2008) Generated when a new user account is created. 
 	625	User account password changed. (Legacy, pre-Windows Server 2008) Logged when the password for a user account is changed. 
 	626	User account enabled. (Legacy, pre-Windows Server 2008) Occurs when a previously disabled account is enabled. 
 	627	Password change attempt by account. (Legacy, pre-Windows Server 2008) Logged when a user tries to change their own password. 
 	628	User account password set. (Legacy, pre-Windows Server 2008) Occurs when an account password is set (typically by an admin resetting it). 
 	629	User account disabled. (Legacy, pre-Windows Server 2008) Generated when a user account is disabled. 
 	630	User account deleted. (Legacy, pre-Windows Server 2008) Occurs when a user account is deleted from the system. 
 	631	Security-enabled global group created. (Legacy, pre-Windows Server 2008) Logged when a global security group is created. 
 	632	Security-enabled global group member added. (Legacy, pre-Windows Server 2008) Occurs when a new member is added to a global security group. 
 	633	Security-enabled global group member removed. (Legacy, pre-Windows Server 2008) Logged when a member is removed from a global security group. 
 	634	Security-enabled global group deleted. (Legacy, pre-Windows Server 2008) Occurs when a global security group is deleted. 
 	635	Security-enabled local group created. (Legacy, pre-Windows Server 2008) Generated when a new local security group is created. 
 	636	Security-enabled local group member added. (Legacy, pre-Windows Server 2008) Occurs when a member is added to a local security group. 
 	637	Security-enabled local group member removed. (Legacy, pre-Windows Server 2008) Logged when a member is removed from a local security group. 
 	638	Security-enabled local group deleted. (Legacy, pre-Windows Server 2008) Occurs when a local security group is deleted. 
 	639	Security-enabled local group changed. (Legacy, pre-Windows Server 2008) Occurs when properties of a local security group are modified. 
 	641	Security enabled global group changed. (Legacy, pre-Windows Server 2008) Generated when properties of a global security group are changed. 
 	642	User account changed. (Legacy, pre-Windows Server 2008) Occurs when attributes of a user account are modified. 
 	643	Domain Policy changed. (Legacy, pre-Windows Server 2008) Logged when domain or directory service policy is modified. 
 	644	User account locked out. (Legacy, pre-Windows Server 2008) Occurs when a user account is locked out after failed logon attempts. 
 	645	Computer account created. (Legacy, pre-Windows Server 2008) Generated when a new computer account is created. 
 	646	Computer account changed. (Legacy, pre-Windows Server 2008) Occurs when attributes of a computer account are modified. 
 	647	Computer account deleted. (Legacy, pre-Windows Server 2008) Occurs when a computer account is deleted. 
 	648	Security-disabled local group created. (Legacy, pre-Windows Server 2008) Generated when a new local distribution group (not a security group) is created. 
 	649	Security-disabled local group changed. (Legacy, pre-Windows Server 2008) Occurs when properties of a local distribution (non-security) group are modified. 
 	650	Security-disabled local group member added. (Legacy, pre-Windows Server 2008) Logged when a member is added to a local distribution group. 
 	651	Security-disabled local group member removed. (Legacy, pre-Windows Server 2008) Occurs when a member is removed from a local distribution group. 
 	652	Security-disabled local group deleted. (Legacy, pre-Windows Server 2008) Generated when a local distribution group is deleted. 
 	653	Security-disabled global group created. (Legacy, pre-Windows Server 2008) Occurs when a new global distribution group is created. 
 	654	Security-disabled global group changed. (Legacy, pre-Windows Server 2008) Occurs when properties of a global distribution group are modified. 
 	655	Security-disabled global group member added. (Legacy, pre-Windows Server 2008) Logged when a member is added to a global distribution group. 
 	656	Security-disabled global group member removed. (Legacy, pre-Windows Server 2008) Occurs when a member is removed from a global distribution group. 
 	657	Security-disabled global group deleted. (Legacy, pre-Windows Server 2008) Occurs when a global distribution group is deleted. 
 	658	Security-enabled universal group created. (Legacy, pre-Windows Server 2008) Logged when a new universal security group is created. 
 	659	Security-enabled universal group changed. (Legacy, pre-Windows Server 2008) Occurs when attributes or membership of a universal security group is modified. 
 	660	Security-enabled universal group member added. (Legacy, pre-Windows Server 2008) Logged when a member is added to a universal security group. 
 	661	Security-enabled universal group member removed. (Legacy, pre-Windows Server 2008) Occurs when a member is removed from a universal security group. 
 	662	Security-enabled universal group deleted. (Legacy, pre-Windows Server 2008) Generated when a universal security group is deleted. 
 	663	Security-disabled universal group created. (Legacy, pre-Windows Server 2008) Occurs when a new universal distribution (non-security) group is created. 
 	664	Security-disabled universal group changed. (Legacy, pre-Windows Server 2008) Occurs when properties of a universal distribution group are modified. 
 	665	Security-disabled universal group member added. (Legacy, pre-Windows Server 2008) Logged when a member is added to a universal distribution group. 
 	666	Security-disabled universal group member removed. (Legacy, pre-Windows Server 2008) Occurs when a member is removed from a universal distribution group. 
 	667	Security-disabled universal group deleted. (Legacy, pre-Windows Server 2008) Occurs when a universal distribution group is deleted. 
 	668	Group type changed. (Legacy, pre-Windows Server 2008) Generated when the type of a group (security/distribution or scope) is altered. 
 	669	Add SID History to account. (Legacy, pre-Windows Server 2008) Occurs when the SID history attribute of a user or group is updated. 
 	670	Remove SID History from account. (Legacy, pre-Windows Server 2008) Logged when SID history is removed from a user or group. 
 	671	SID History was used in an account. (Legacy, pre-Windows Server 2008) Indicates successful authentication using SID history for backwards compatibility. 
 	672	Authentication ticket granted. Occurs when an account is granted a Kerberos TGT (old event, pre-Windows Server 2008). 
 	673	Service ticket granted. Logged when an account is granted a Kerberos service ticket (pre-Windows Server 2008). 
 	674	Ticket granting ticket renewed. Indicates a Kerberos TGT was renewed (pre-Windows Server 2008). 
 	675	Pre-authentication failed. Logged when Kerberos pre-authentication fails for a user (pre-Windows Server 2008). 
 	676	Authentication ticket request failed. Occurs when a request for a Kerberos TGT fails (pre-Windows Server 2008). 
 	677	Service ticket request failed. Indicates a failed attempt to get a service ticket (pre-Windows Server 2008). 
 	678	Account mapped for logon. Occurs when a Kerberos ticket is successfully mapped to a local account (pre-Windows Server 2008). 
 	679	Account could not be mapped for logon. Shows failure to map a Kerberos ticket to a local account (pre-Windows Server 2008). 
 	680	Account used for logon by a user. Indicates a successful or failed logon attempt (pre-Windows Server 2008; replaced by 4624/4625). 
 	681	Logon attempt failed. Occurs when a user logon attempt fails (pre-Windows Server 2008). 
 	682	A user has reconnected to a disconnected Terminal Services session. (Legacy, pre-Windows Server 2008) Occurs when a user reattaches to a session they previously disconnected from on Terminal Services. 
 	683	A user disconnected from a Terminal Services session. (Legacy, pre-Windows Server 2008) Logged when a user disconnects a Terminal Services session but does not log off. 
 	684	Set account restriction. (Legacy, pre-Windows Server 2008) Occurs when account restrictions such as logon times or workstation restrictions are set. 
 	685	Account locked out. (Legacy, pre-Windows Server 2008) Logged when an account is locked out due to failed logon attempts. 
 	686	Password expiration warning. (Legacy, pre-Windows Server 2008) Occurs when a user is notified that their password is about to expire. 
 	687	Successful logon using explicit credentials. (Legacy, pre-Windows Server 2008) Indicates a successful interactive or network logon using explicit credentials. 
 	688	User attempted to modify privileged account. (Legacy, pre-Windows Server 2008) Logged when there is an attempt to modify an account with administrative privileges. 
 	689	User attempted to perform unauthorized operation. (Legacy, pre-Windows Server 2008) Occurs when a user tries to perform an action they do not have permissions for. 
 	690	Account logon failure. (Legacy, pre-Windows Server 2008) Logged when a logon attempt using a user account fails. 
 	691	Account logon success. (Legacy, pre-Windows Server 2008) Occurs when a user successfully logs on. 
 	692	IP Security Services started. (Legacy, pre-Windows Server 2008) Indicates that IPsec (Internet Protocol Security) services have started on the computer. 
 	693	IP Security Services ended. (Legacy, pre-Windows Server 2008) Logged when IPsec services have stopped. 
 	694	IP Security Policy Agent started. (Legacy, pre-Windows Server 2008) Occurs when the policy agent service for IPsec has started. 
 	695	IP Security Policy Agent ended. (Legacy, pre-Windows Server 2008) Logged when the IPsec policy agent has stopped. 
 	696	IPsec policy agent failed to start. (Legacy, pre-Windows Server 2008) Indicates a failure when starting the IPsec policy agent. 
 	697	IPsec policy agent encountered an error. (Legacy, pre-Windows Server 2008) Logged when the IPsec policy agent experiences an error. 
 	806	IPsec Services has started successfully. Logged when the IPsec Services start on the machine, enabling IPsec functionality. 
 	807	IPsec Services has shut down successfully. Occurs when the IPsec Services stop or are gracefully shut down on the machine. 
 	808	IPsec Services encountered an error while applying filters. Logged if IPsec can't apply one or more policy filters (may indicate configuration or network issues). 
 	809	IPsec encountered a potentially incompatible filter. Occurs when IPsec tries to apply or match a filter with potentially incompatible parameters. 
 	848	SMB signing enabled. Logged when Server Message Block (SMB) signing is enabled for SMB traffic to ensure integrity/authenticity. 
 	849	SMB signing disabled. Occurs when SMB signing is disabled, meaning SMB traffic will not require digital signatures. 
 	850	SMB encryption enabled. Logged when encryption for Server Message Block (SMB) traffic is enabled to ensure confidentiality. 
 	851	SMB encryption disabled. Occurs when SMB encryption is disabled, meaning SMB traffic will not be encrypted. 
 	852	A device was ejected from the system. Logged when a device (such as USB storage) is safely ejected or removed from the system. 
 	853	An attempt was made to eject a device. Occurs when an action is taken to eject a removable device (e.g., via Safely Remove Hardware). 
 	854	Device removal blocked by policy. Logged when the removal of a device is prevented due to Group Policy or other device control policy. 
 	855	Device removal allowed by policy. Occurs when policy allows the successful removal of a device from the system. 
 	856	Device installation blocked by policy. Logged when system policy prevents the installation of a new device (hardware or drivers). 
 	857	Device installation allowed by policy. Occurs when policy allows the installation of a device. 
 	858	Device driver installation blocked by policy. Logged when system policy prevents the installation of a device driver. 
 	859	Device driver installation allowed by policy. Occurs when the installation of a device driver is permitted under current policy. 
 	860	Device setup class installation blocked by policy. Logged when policy blocks the installation of a device associated with a specific setup class. 
 	861	Trusted logon process has been registered with the Local Security Authority. (Legacy, pre-Windows Server 2008) Occurs when a new trusted logon process is registered with LSA (variant of 4616/5169). 
 	1074	System has been shutdown by a process or user.
This event is generated when an application causes the system to restart, or when the user initiates a restart or shutdown. It is logged on domain controllers, member servers, and workstations. 
 	1100	The event logging service has shut down.
This event is generated during a normal system shutdown, and when the Windows Event Log service shuts down. It is logged on domain controllers and member computers. 
 	1101	Audit events have been dropped by the transport.
This event is generated when restarting Windows after a dirty shutdown. It is logged on domain controllers, member servers, and workstations 
 	1102	The audit log was cleared.
This event is generated whenever the security log is cleared. It is logged on domain controllers and member computers. 
 	1104	The security log is now full.
This event is generated when the Windows security log becomes full. It is logged on domain controllers, member servers, and workstations. 
 	1105	Event log automatic backup.
This event is generated when the Windows security log becomes full and a new event log file is created (for example, when the maximum size of Security Event Log file is reached and event log retention method has been set to “Archive the log when full, do not overwrite events”). It is logged on domain controllers, member servers, and workstations. 
 	1108	The event logging service encountered an error.
This event is generated when the event logging service encounters an error while processing an incoming event. It is logged on domain controllers, member servers, and workstations. 
 	1200	Application token success.
This event is generated every time an application token is issued successfully by AD FS for an authentication request. It is logged only on a federation server. 
 	1201	Application token failure.
This event is generated every time an application token issuance by AD FS fails for an authentication request. It is logged only on a federation server. 
 	1202	Fresh credential validation success.
This event is generated when fresh credentials are validated successfully by AD FS. It is logged on domain controllers and member computers. 
 	1203	Fresh credential validation error.
This event is generated when fresh credential validation fails in AD FS. It is logged on domain controllers and member computers. 
 	1210	Extranet lockout.
This event is generated when a user is locked out of, or when a locked out user attempts to log in to, AD FS. It is logged on domain controllers and member computers. 
 	1317	LDAP connection timed out.
This event is generated when the local domain controller disconnects the LDAP connection from the specified network address because of a time-out. It is logged only on domain controllers. 
 	1458	FSMO role transferred.
This event is generated when an FSMO role is transferred from one domain controller to another. It is logged only on domain controllers. 
 	1644	LDAP searches.
This event is generated when an LDAP search made by a client against the directory breaches the inexpensive and/or inefficient search thresholds (it will only be logged if you set the Field Engineering reg key to 5 or higher). It is logged only on domain controllers. 
 	1837	An attempt to transfer the operations master role failed.
This event is generated every time an attempt to transfer the FSMO role by the user fails. It is logged only on domain controllers. 
 	2089	This directory partition has not been backed up since at least the following number of days.
This event is generated every time a backup hasn't been created since the enabled backup latency threshold. It is logged only on domain controllers. 
 	2092	FSMO replication.
This event is generated when a server is the owner of an FSMO role but does not consider it valid (replication errors prevent validation of the role). It is logged only on domain controllers. 
 	2093	FSMO role not responding.
This event is generated every time the remote server, that is, the Flexible Single Master Operations (FSMO), is unresponsive. It is logged only on domain controllers. 
 	2887	LDAP signing.
This event is generated when a client computer attempts an unsigned LDAP bind. It is logged only on domain controllers. 
 	2889	Lightweight Directory Access Protocol (LDAP) bind.
This event is generated every time a client initiates an LDAP bind without requesting the verification that the directory server is not configured to reject. It is logged only on domain controllers. 
 	4608	Windows is starting up.
This event is generated when a Windows machine is started. It is logged on domain controllers and member computers. 
 	4609	Windows is shutting down.
This event is generated when a Windows machine is shutting down. It is logged on domain controllers and member computers. 
 	4610	An authentication package has been loaded by the Local Security Authority.
This event is generated at startup for each authentication package on the system. It is logged on domain controllers and member computers. 
 	4611	A trusted logon process has been registered with the Local Security Authority.
This event is generated when a logon process is registered with the Local Security Authority to submit trusted logon requests. It is logged on domain controllers and member computers. 
 	4612	Internal resources allocated for queuing audit messages were exhausted, leading to loss of audit events. Occurs when the audit log buffer is full and events are lost. 
 	4614	A notification package has been loaded by the Security Account Manager.
This event is generated when a user attempts to change their password. It is logged on domain controllers and member computers. 
 	4615	Invalid use of LPC port. Logged when an application or process attempts to perform an operation using a Local Procedure Call port in an invalid or unauthorized manner. 
 	4616	The system time was changed.
This event is generated when the system time is changed. It is logged on domain controllers and member computers. 
 	4618	A monitored security event pattern has occurred.
This event is generated when Windows is configured to generate alerts per the Common Criteria security audit analysis requirements and an auditable event pattern occurs. It is logged on domain controllers and member computers. 
 	4621	Administrator recovered system from CrashOnAuditFail. Logged when an admin re-enables audit logging after the system was locked down due to audit log failure. 
 	4622	A security package has been loaded by the Local Security Authority.
This event is generated when a security package is loaded by the Local Security Authority. It is logged on domain controllers and member computers. 
 	4624	An account was successfully logged on. Indicates a successful logon to the system by a user or computer. 
 	4625	An account failed to log on. Occurs when a logon attempt to the system is unsuccessful. 
 	4626	User/Device claims information. Logged when a user or device claims (e.g., tokens or certificates) are processed during authentication. 
 	4627	Group membership information. Occurs when group membership data is retrieved for an account during logon. 
 	4634	An account was logged off. Indicates that a user or service logged off from the computer. 
 	4646	IKE DoS-prevention mode started. Logged when the system initiates Internet Key Exchange (IKE) DoS prevention features. 
 	4647	User initiated logoff.
This event is generated when logoff is initiated. It is logged on domain controllers, member servers, and workstations. 
 	4648	A logon was attempted using explicit credentials.
This event is generated every time a process attempts to log on to an account by explicitly specifying that account's credentials. It is logged on domain controllers, member servers, and workstations. 
 	4649	A replay attack was detected.
This event is generated when the same packets are sent by a misconfigured network device between the server and the client. It is logged on domain controllers and member computers. 
 	4650	An IPsec Main Mode security association was established. Logged when a successful IPsec Main Mode security association is negotiated. 
 	4651	An IPsec Main Mode security association was deleted. Occurs when an IPsec Main Mode security association is deleted or expires. 
 	4652	An IPsec Quick Mode security association was established. Logged when a Quick Mode (IPsec) security association is successfully established. 
 	4653	An IPsec Quick Mode security association was deleted. Occurs when an IPsec Quick Mode security association is deleted or expires. 
 	4654	An IPsec Extended Mode security association was established. Logged when an IPsec Extended Mode security association is successfully created. 
 	4655	An IPsec Extended Mode security association was deleted. Occurs when an IPsec Extended Mode security association is deleted or expires. 
 	4656	A handle to an object was requested.
This event is generated every time specific access is requested for an object. The object could be a file system, kernel, or registry object, or a file system object on removable storage or a device. It is logged on domain controllers, member servers, and workstations. 
 	4657	A registry value was modified. Occurs when a value of a registry key is added, changed, or deleted. 
 	4658	The handle to an object was closed. Logged when a previously opened handle to an object (like a file or registry key) is closed. 
 	4659	A handle to an object was requested with intent to delete.
This event is generated when an installed patch requires the replacement of a file opened by Windows. It is logged on domain controllers and member computers. 
 	4660	An object was deleted. Logged when an object (file, registry key, etc.) is actually deleted from the system. 
 	4661	A handle to an object was requested with an explicit handle right. Occurs when a handle to an object is requested specifying access permissions (rights). 
 	4662	An operation was performed on an object.
This event is generated when a user accesses an Active Directory object. It is logged only on domain controllers. 
 	4663	An attempt was made to access an object. Logged on access attempts to an object, such as read, write, or delete actions. 
 	4664	An attempt was made to create a hard link. Occurs when a process tries to create a hard link to an existing file. 
 	4665	An attempt was made to create an application client context. Logged when a process or user creates a client context for an application, typically for resource access or authorization. 
 	4666	An application attempted an operation. Occurs when an application makes an attempt to perform an operation; details provided in the event specify operation type. 
 	4667	An application client context was deleted. Logged when a previously created application client context is removed or destroyed. 
 	4668	An application was initialized. Occurs when an application initializes a new client context for access or an action. 
 	4670	Permissions on an object were changed.
This event is generated every time a user modifies the access control list of an Active Directory object. It is logged on domain controllers, member servers, and workstations. 
 	4671	An application attempted to access a protected object. Occurs when an application tries to gain access to a system-protected object (such as file, registry key, etc.). 
 	4672	Special privileges assigned to new logon.
This event is generated every time sensitive privileges are assigned to a new logon session. It is logged on domain controllers, member servers, and workstations. 
 	4673	A privileged service was called. Logged when a process requests use of a privileged system service, typically via a special system call by a high-privilege account. 
 	4674	An operation was attempted on a privileged object. Occurs when a process or user attempts access or operation on a system object requiring special privileges (e.g., debug, backup). 
 	4675	SIDs were filtered. Occurs when Security Identifiers (SIDs) are filtered from an access token during authentication, often for security or trust boundary reasons. 
 	4688	A new process has been created. Logged whenever a process (program, executable) starts on the system. 
 	4689	A process has exited.
This event is generated when a process ends. It is logged on domain controllers, member servers, and workstations. 
 	4690	An attempt was made to duplicate a handle to an object. Logged when a handle to a system object (file, registry, etc.) is duplicated (for use by another process or user). 
 	4691	Indirect access to an object was requested. Occurs when a process requests indirect access (such as via symbolic link or remote API) to a secure object. 
 	4692	Backup of data protection master key was attempted. Logged when an attempt is made to back up the master key used by Windows Data Protection API (DPAPI), usually for recovery purposes. 
 	4693	Recovery of data protection master key was attempted. Logged when a process tries to recover the master key for the Windows Data Protection API (DPAPI), usually for decrypting protected data. 
 	4694	Protection of auditable protected data was attempted. Occurs when the system attempts to apply protection to data that is under audit policy (e.g., DPAPI-encrypted data). 
 	4695	Unprotection of auditable protected data was attempted. Logged when a process attempts to decrypt (unprotect) data that is subject to audit policy, such as DPAPI-encrypted data. 
 	4696	A primary token was assigned to process. Occurs when a process is assigned a user security token that determines its permissions and access. 
 	4697	A service was installed in the system. Logged when a new system service is installed (which could indicate a new or malicious service). 
 	4698	A scheduled task was created.
This event is generated when a new scheduled task is created. It is logged on domain controllers, member servers, and workstations. 
 	4699	A scheduled task was deleted.
This event is generated when a scheduled task is deleted. It is logged on domain controllers, member servers, and workstations. 
 	4700	A scheduled task was enabled.
This event is generated when a scheduled task is enabled. It is logged on domain controllers, member servers, and workstations. 
 	4701	A scheduled task was disabled.
This event is generated when a scheduled task is disabled. It is logged on domain controllers, member servers, and workstations. 
 	4702	A scheduled task was updated.
This event is generated when a scheduled task is updated or changed. It is logged on domain controllers, member servers, and workstations. 
 	4703	A token right was adjusted. Occurs when user rights associated with an access token are changed, such as privilege elevation or restriction. 
 	4704	A user right was assigned.
This event is generated when a user is assigned privileges. It is logged only on domain controllers. 
 	4705	A user right was removed.
This event is generated when a user's privileges are removed. It is logged only on domain controllers. 
 	4706	A new trust was created to a domain. Logged when a trust relationship with another domain is established. 
 	4707	A trust to a domain was removed. Occurs when a domain trust relationship is deleted. 
 	4709	IPsec Services was started. Logged when IPsec Services starts on the system, enabling IPsec-based secure communications. 
 	4710	IPsec Services was disabled. Occurs when IPsec Services are stopped or disabled on the machine. 
 	4711	Kerberos policy was changed. Logged when the Kerberos authentication policy settings are modified in the domain or system. 
 	4712	A trusted domain object was created. Occurs when a trusted domain object (for inter-domain trust) is created in Active Directory. 
 	4713	Kerberos policy was changed.
This event is generated when the Kerberos policy is changed. It is logged only on domain controllers. 
 	4714	Encrypted data recovery policy was changed.
This event is generated when a computer's Security Settings\Public Key Policies\Encrypting File System data recovery agent policy is modified (either via Local Security Policy or Group Policy in Active Directory). It is logged on domain controllers, member servers, and workstations. 
 	4715	The audit policy (SACL) on an object was changed. Logged when the System Access Control List (SACL) for auditing is modified on a file, object, or directory. 
 	4716	Trusted domain information was modified. Occurs when trusted domain information in Active Directory is changed (e.g., SID, attributes). 
 	4717	System security access was granted to an account.
This event is generated when a logon right (such as "Access this computer from the network") is granted to an account. It is logged on domain controllers, member servers, and workstations. 
 	4718	System security access was removed from an account.
This event is generated when a logon right (such as "Access this computer from the network") is removed from an account. It is logged on domain controllers, member servers, and workstations. 
 	4719	System audit policy was changed.
This event is generated when an audit policy is disabled, regardless of the "Audit Policy Change" sub-category setting. It is logged on domain controllers and member computers. 
 	4720	A user account was created.
This event is generated every time a new user account is created. It is logged on domain controllers, member servers, and workstations. 
 	4722	A user account was enabled.
This event is generated every time a user or computer account is enabled. For user objects, it is logged on domain controllers, member servers, and workstations. For computers, it is logged only on domain controllers. 
 	4723	An attempt was made to change an account's password. Logged when a user attempts to change their own password. 
 	4724	An attempt was made to reset an account's password. Generated when one account attempts to reset the password for another account. 
 	4725	A user account was disabled. Logged whenever a user account is disabled. 
 	4726	A user account was deleted.
This event is generated every time a user object is deleted. It is logged on domain controllers, member servers, and workstations 
 	4727	A security-enabled global group was created.
This event is generated every time a user creates a security group with global scope. It is logged only on domain controllers. 
 	4728	A member was added to a security-enabled global group.
This event is generated every time a user, computer, or group is added to a security group with global scope. It is logged only on domain controllers. 
 	4729	A member was removed from a security-enabled global group.
This event is generated when a user, group, or computer is removed from a security-enabled global group. It is logged only on domain controllers. 
 	4730	A security-enabled global group was deleted. Generated when a global security group is deleted. 
 	4731	A security-enabled local group was created.
This event is generated when a security-enabled local group is created. It is logged on domain controllers for domain local groups, or on member computers for local SAM groups. 
 	4732	A member was added to a security-enabled local group.
This event is generated when users, groups, or computers are added to a security-enabled local group. It is logged on domain controllers for domain local groups, or on member computers for local SAM groups. 
 	4733	A member was removed from a security-enabled local group. Generated when a member is removed from a local security group. 
 	4734	A security-enabled local group was deleted.
This event is generated when a security-enabled local group is deleted. It is logged on domain controllers for domain local groups, or on member computers for local SAM groups. 
 	4735	A security-enabled local group was changed.
This event is generated when a security-enabled local group is modified. It is logged on domain controllers for domain local groups, or on member computers for local SAM groups. 
